root_cause_id,domain,risk_level,expected_condition,root_cause_name
HLTH-SQL-AD-001-RC01,HLTH,medium,utilization_pct > 75,Connection Leaks in Application Code
HLTH-SQL-BR-001-RC03,HLTH,medium,pct_used > 90,Disk Space Exhaustion (Source/Staging)
HLTH-SQL-BR-001-RC08,HLTH,medium,any status != 'VALID',License Expiration
HLTH-SQL-BR-001-RC12,HLTH,medium,any status = 'X',Media Failure
HLTH-SQL-BR-003-RC02,HLTH,medium,seconds_in_wait > 3600,Stuck Backup Process
HLTH-SQL-BR-003-RC04,HLTH,medium,status != 'ENABLED',Change Rate Spikes
HLTH-SQL-BR-003-RC06,HLTH,medium,row_count = 0 OR enabled = 'FALSE',Human Error (Scheduling)
HLTH-SQL-BR-003-RC07,HLTH,medium,gap_hours > 25 OR gap_hours < 23,DST/Time Change Bugs
HLTH-SQL-BR-004-RC02,HLTH,medium,LOG_MODE = 'NOARCHIVELOG',Circular Logging Enabled
HLTH-SQL-BR-004-RC07,HLTH,medium,retention_days < 7,Insufficient Log Retention
HLTH-SQL-BR-005-RC07,HLTH,medium,VALUE LIKE '%REDUNDANCY%' OR VALUE LIKE '%NONE%',Configuration Overrides
HLTH-SQL-BR-005-RC09,HLTH,medium,duration_seconds < 0 OR row_count = 0,Time Sync Issues
HLTH-SQL-BR-006-RC07,HLTH,medium,avg_wait_centiseconds > 50,VM Snapshot Interference
HLTH-SQL-CD-001-RC03,HLTH,medium,any(name='memory_target' AND value != '0') OR any(name='sga_target' AND value != '0'),Automatic Parameter Updates
HLTH-SQL-CD-001-RC06,HLTH,medium,custom_param_count > 30,Installation/Initialization Scripts
HLTH-SQL-CD-003-RC03,HLTH,medium,row_count > 0 with ERROR status,Stale Configuration Files
HLTH-SQL-CD-003-RC07,HLTH,medium,significant uptime difference between instances (one recently restarted),Node Rejoining With Old State
HLTH-SQL-CD-003-RC10,HLTH,medium,any dest with status = 'ERROR' or mismatched valid_role settings,Replication Channel Configuration Mismatch
HLTH-SQL-CD-004-RC01,HLTH,medium,"allowed_logon_version is set to a low value (8, 9, 10) or remote_os_authent = 'TRUE'",Authentication Method Downgraded
HLTH-SQL-CD-004-RC11,HLTH,medium,encrypted_column_count = 0,Column-Level Encryption Disabled
HLTH-SQL-DM-001-RC08,HLTH,medium,apply_lag_sequences > 10,Stale or lagging replication slots
HLTH-SQL-DM-001-RC09,HLTH,medium,unexpired_extents > 1000,hot_standby_feedback enabled on lagging standby
HLTH-SQL-DM-001-RC11,HLTH,medium,row_count > 0 AND max(size_mb) > 10000,Autovacuum workers pinned to large tables
HLTH-SQL-DM-001-RC12,HLTH,medium,total_wait_secs > 60,I/O contention with user queries
HLTH-SQL-DM-001-RC13,HLTH,medium,used_mb > 5000,Temporary tables blocking maintenance
HLTH-SQL-DM-001-RC15,HLTH,medium,over_allocation_count > 0 OR cache_hit_percentage < 90,Insufficient maintenance_work_mem
HLTH-SQL-DM-002-RC04,HLTH,medium,status = 'DISABLED',Automatic statistics collection job disabled
HLTH-SQL-DM-002-RC06,HLTH,medium,incremental_setting = 'TRUE',Incremental statistics misconfigured
HLTH-SQL-DM-002-RC07,HLTH,medium,row_count > 0 AND max(mod_pct) BETWEEN 3 AND 10,Table modifications below statistics staleness threshold
HLTH-SQL-DM-002-RC08,HLTH,medium,any status != 'COMPLETED',Long-running statistics collection blocking completion
HLTH-SQL-DM-002-RC14,HLTH,medium,stale_count > 50,Insufficient background statistics workers
HLTH-SQL-DM-002-RC15,HLTH,medium,STALE_PERCENT is high (default 10%),Conservative automatic statistics thresholds
HLTH-SQL-DM-003-RC03,HLTH,medium,high undoblks values,High UPDATE/DELETE workload
HLTH-SQL-DM-003-RC08,HLTH,medium,row_count > 0 AND chain_pct > 5,Low fillfactor causing internal fragmentation
HLTH-SQL-DM-003-RC11,HLTH,medium,pct_deleted > 20,Index bloat from row versioning overhead
HLTH-SQL-DM-003-RC14,HLTH,medium,value > 10000,VARCHAR or variable-length column updates
HLTH-SQL-DM-003-RC15,HLTH,medium,row_count > 0 OR max_column_id > column_count,Table design with frequent column additions/modifications
HLTH-SQL-DM-004-RC01,HLTH,medium,row_count > 0 AND index_count > 0,Frequent INSERT/UPDATE/DELETE operations
HLTH-SQL-DM-004-RC10,HLTH,medium,physical writes direct value is significant,Bulk operations without proper optimization
HLTH-SQL-DM-005-RC11,HLTH,medium,pct_used > 80,Temporary tables from disconnected sessions
HLTH-SQL-DM-005-RC13,HLTH,medium,avg_wait_ms > 20,Insufficient disk I/O capacity
HLTH-SQL-DM-007-RC09,HLTH,medium,"ACTIVE_STATE IN ('QUIESCING', 'QUIESCED')",Database in single-user or restricted mode
HLTH-SQL-DM-007-RC13,HLTH,medium,switches > 100,Transaction log full
HLTH-SQL-HA-001-RC01,HLTH,medium,apply_lag > 300 OR transport_lag > 300,Replication lag exceeding thresholds
HLTH-SQL-HA-001-RC02,HLTH,medium,avg_wait_sec > 1,Network latency or bandwidth limitations
HLTH-SQL-HA-001-RC03,HLTH,medium,any(avg_wait_sec > 0.1),Network packet loss or intermittent connectivity
HLTH-SQL-HA-001-RC04,HLTH,medium,any(avg_wait_sec > 0.05),Disk I/O bottlenecks on standby
HLTH-SQL-HA-001-RC10,HLTH,medium,active_user_queries > 10,Standby server under read load
HLTH-SQL-HA-001-RC11,HLTH,medium,row_count > 0 AND any(avg_wait_sec > 0.05),Synchronous replication with flow control
HLTH-SQL-HA-001-RC12,HLTH,medium,any(stat_name='LOAD' AND value > 3),Compression/decompression overhead
HLTH-SQL-HA-002-RC09,HLTH,medium,net_used_pct > 85,Disk space exhaustion
HLTH-SQL-HA-003-RC08,HLTH,medium,instance_status = 'OPEN' AND (blocked_sessions > 10 OR stuck_sessions > 10),Master still appears healthy to coordination system
HLTH-SQL-HA-003-RC12,HLTH,medium,row_count > 0 with CSSD or voting disk errors,Lease or lock renewal issues
HLTH-SQL-HA-003-RC15,HLTH,medium,row_count > 0 with very high last_call_et values,Stuck TCP connections after network partition
HLTH-SQL-HA-004-RC08,HLTH,medium,pct_used > 90,Connection pool exhaustion
HLTH-SQL-HA-004-RC13,HLTH,medium,row_count > 0 with high frequency short-lived sessions,Health check interval/threshold misconfiguration
HLTH-SQL-HA-004-RC16,HLTH,medium,status != 'OPEN' OR database_status != 'ACTIVE',Layer 7 vs Layer 4 check mismatch
HLTH-SQL-HA-005-RC02,HLTH,medium,row_count < expected_interconnect_count,Network partition splitting cluster
HLTH-SQL-LM-001-RC01,HLTH,medium,row_count > 0 AND any_value duration_minutes > 60,Long-running active transactions
HLTH-SQL-LM-001-RC08,HLTH,medium,row_count > 0 AND any_value hours_behind > 2,Replication lag or disconnected subscribers
HLTH-SQL-LM-001-RC10,HLTH,medium,log_gap > 10,Log shipping configuration issues
HLTH-SQL-LM-001-RC11,HLTH,medium,txn_age_secs > 3600,Open transactions with BEGIN TRAN but no COMMIT/ROLLBACK
HLTH-SQL-LM-002-RC06,HLTH,medium,apply lag > '01:00:00',Secondary server resource constraints
HLTH-SQL-LM-002-RC10,HLTH,medium,dg_broker_start = 'FALSE' OR row_count = 0,Monitor server offline or disconnected
HLTH-SQL-LM-003-RC06,HLTH,medium,row_count > 0 AND high redo_mb per hour,Insufficient bandwidth for archive transfer
HLTH-SQL-LM-003-RC09,HLTH,medium,SRL count >= ORL count + 1 per thread AND SRL size >= ORL size,Standby transaction logs misconfigured
HLTH-SQL-LM-003-RC12,HLTH,medium,"apply lag > transport lag (apply is bottleneck, not transport)",Insufficient CPU capacity on standby
HLTH-SQL-LM-003-RC17,HLTH,medium,sequence gaps detected between consecutive entries,Sequence number mismatches
HLTH-SQL-LM-004-RC01,HLTH,medium,any status = 'ERROR' OR error IS NOT NULL,Destination path does not exist
HLTH-SQL-LM-004-RC02,HLTH,medium,row_count > 0 AND error LIKE '%permission%' OR error LIKE '%access%',Insufficient permissions
HLTH-SQL-LM-004-RC08,HLTH,medium,any failure_count > 0,Timeout issues
HLTH-SQL-LM-004-RC09,HLTH,medium,number_of_files > 50000,Archive destination running out of inodes
HLTH-SQL-LM-004-RC11,HLTH,medium,log_mode = 'NOARCHIVELOG',Missing archive_command configuration
HLTH-SQL-LM-004-RC14,HLTH,medium,log_mode = 'NOARCHIVELOG',Archive_mode not enabled
HLTH-SQL-LM-005-RC03,HLTH,medium,any apply_lag_sequences > 100,Replication lag exceeding wal_keep_size
HLTH-SQL-LM-005-RC08,HLTH,medium,sequence_gap > 100,Disconnected standbys with active slots
HLTH-SQL-LM-005-RC12,HLTH,medium,pct_used > 90,Archive destination full
HLTH-SQL-LM-005-RC14,HLTH,medium,pct_used > 85,Insufficient disk space for transaction log directory
HLTH-SQL-LM-005-RC15,HLTH,medium,avg_switch_interval_min < 15,Incorrect max_wal_size setting
HLTH-SQL-LM-006-RC01,HLTH,medium,log_mode = 'NOARCHIVELOG',Transaction log mode does not support point-in-time recovery
HLTH-SQL-LM-006-RC04,HLTH,medium,flashback_on = 'NO' AND log_mode = 'NOARCHIVELOG',PITR explicitly disabled in cloud database settings
HLTH-SQL-LM-006-RC08,HLTH,medium,status = 'DISABLED' OR row_count = 0,Change tracking logging disabled
HLTH-SQL-LM-006-RC13,HLTH,medium,pct_used > 90 OR limit_mb < 10240,Cost optimization in cloud environments
HLTH-SQL-LM-006-RC15,HLTH,medium,STATUS = 'DISABLED' OR row_count = 0,Intentional administrative decision
HLTH-SQL-RP-004-RC01,HLTH,medium,transport_lag > '00:05:00',Subscriber/replica disconnected
HLTH-SQL-RP-004-RC03,HLTH,medium,row_count > 0 with failure_count > 0,Network issues preventing slot consumption
HLTH-SQL-RP-004-RC04,HLTH,medium,row_count > 0 with old archived logs,Abandoned replication slots
HLTH-SQL-RP-004-RC07,HLTH,medium,apply lag > '00:30:00' OR apply finish time is large,Subscriber overwhelmed and lagging
HLTH-SQL-RP-004-RC09,HLTH,medium,"status IN ('ABORTED', 'DISABLED') with error_number set",High availability failover incomplete
HLTH-SQL-RP-004-RC10,HLTH,medium,pct_used > 85,Slot retention exceeded `max_slot_wal_keep_size`
HLTH-SQL-RP-004-RC11,HLTH,medium,row_count > 0 with significant redo from background processes,Primary database idle but heartbeats generating WAL
HLTH-SQL-RP-004-RC12,HLTH,medium,days_behind > 2,Maintenance window exceeded slot timeout
HLTH-SQL-RP-004-RC13,HLTH,medium,source_container_name does not match the PDB where application changes occur,Slot on wrong database
HLTH-SQL-RP-004-RC14,HLTH,medium,retained_logs > 50 AND oldest log is very old,Temporary slot not cleaned up
HLTH-SQL-RP-004-RC15,HLTH,medium,pct_used > 70 without corresponding alerts,Slot monitoring/alerting gaps
HLTH-SQL-RP-005-RC03,HLTH,medium,row_count > 0 with timeout errors,Network latency exceeding timeout threshold
HLTH-SQL-RP-005-RC14,HLTH,medium,avg_wait_ms > 10,Write-ahead log sync delay
HLTH-SQL-RP-006-RC04,HLTH,medium,error_count > 10,Delete on already-deleted row
HLTH-SQL-RP-006-RC09,HLTH,medium,supplemental_log_data_min = 'NO' OR supplemental_log_data_pk = 'NO',Missing row identity for change replication
HLTH-SQL-RP-006-RC14,HLTH,medium,any_value apply_lag_sequences > 5,Schema changes not replicated
HLTH-SQL-SJ-002-RC13,HLTH,medium,status != 'OPEN' OR logins = 'RESTRICTED' OR active_state != 'NORMAL' OR open_mode != 'READ WRITE',"Database state prevents job (offline, suspect, in recovery)"
HLTH-SQL-SJ-005-RC10,HLTH,medium,row_count > 0 AND max duration exceeds average by 3x,Volume spike overwhelming extraction or transformation capacity
HLTH-SQL-SM-001-RC14,HLTH,medium,pct_used > 30,Snapshot sprawl
HLTH-SQL-SM-002-RC02,HLTH,medium,row_count > 0 AND size_mb > 1024,Missing or inefficient data archival
HLTH-SQL-SM-002-RC05,HLTH,medium,row_count > 0 AND usage_mb > 500,System metadata table bloat
HLTH-SQL-SM-002-RC08,HLTH,medium,total_mb > 10240,Replication or CDC backlog
HLTH-SQL-SM-003-RC05,HLTH,medium,index_table_ratio > 1.5,Index rebuild operations
HLTH-SQL-SM-004-RC05,HLTH,medium,any(temp_mb > 500),Index rebuild using temporary tablespace sorting
HLTH-SQL-SM-006-RC06,HLTH,medium,row_count > 0 with high blevel or clustering_factor close to num_rows,Missing or fragmented indexes
HLTH-SQL-SM-006-RC07,HLTH,medium,high wait times for write-related events,Checkpoint/flush operations
HLTH-SQL-SM-006-RC08,HLTH,medium,buffer_cache_hit_pct < 90,Insufficient SAN cache
HLTH-SQL-SM-006-RC09,HLTH,medium,max_wait_ms significantly higher than avg_wait_ms (10x+ ratio),Antivirus real-time scanning
HLTH-SQL-SM-006-RC10,HLTH,medium,low or zero direct I/O counts when expected,Misconfigured storage settings
HLTH-SQL-SM-006-RC11,HLTH,medium,significant latency differences between datafiles (some 5x+ slower than others),Storage auto-tiering issues
HLTH-SQL-SM-006-RC12,HLTH,medium,avg_wait_ms for single block reads > 15,Virtual machine storage overhead
HLTH-SQL-SM-006-RC13,HLTH,medium,state != 'MOUNTED' OR pct_used > 90,Failing disks in array
HLTH-SQL-SM-006-RC14,HLTH,medium,LGWR-LNS wait time is significant portion of log file sync,Long-distance replication lag
HLTH-SQL-SM-006-RC15,HLTH,medium,significant variance in avg_read_ms across disks in same group,Multipathing problems
HLTH-SQL-SM-006-RC16,HLTH,medium,max_iops is low relative to demand OR latency is high,Insufficient disk spindles
HLTH-SQL-SM-006-RC17,HLTH,medium,row_count > 0 with Data Pump or direct path operations concurrent with normal workload,Competing workloads
HLTH-SQL-SM-006-RC19,HLTH,medium,max_to_avg_ratio > 50,Garbage collection on SSDs
HLTH-SQL-SM-007-RC01,HLTH,medium,pct_used > 80 AND reclaimable_mb is low,Missing transaction log backups
HLTH-SQL-SM-007-RC02,HLTH,medium,"status IN ('FAILED', 'COMPLETED WITH ERRORS', 'COMPLETED WITH WARNINGS')",Failed log backup jobs
HLTH-SQL-SM-007-RC04,HLTH,medium,oldest_age_days > 7,Replication not configured or broken
HLTH-SQL-SM-007-RC05,HLTH,medium,row_count > 0 with high redo generation per session,Large bulk operations
HLTH-SQL-SM-007-RC09,HLTH,medium,size_mb < 200,Log file auto-growth configuration
HLTH-SQL-SM-007-RC11,HLTH,medium,used_pct > 85,Snapshot isolation version store
HLTH-SQL-SM-007-RC15,HLTH,medium,size_mb < 500,Insufficient log file pre-sizing
HLTH-SQL-SM-007-RC16,HLTH,medium,total_gb > 10,Write-ahead log retention policies
HLTH-SQL-UP-001-RC01,HLTH,medium,last_patch_date < SYSDATE - 180,Lack of Version Lifecycle Tracking
HLTH-SQL-UP-001-RC02,HLTH,medium,days_on_version > 1825,Deferred Upgrade Planning
HLTH-SQL-UP-001-RC03,HLTH,medium,row_count = 0 OR patch_date < SYSDATE - 365,End-of-Life Notification Missed
HLTH-SQL-UP-001-RC04,HLTH,medium,"SUBSTR(version, 1, 2) IN ('11', '12')",Unclear Upgrade Path
HLTH-SQL-UP-001-RC07,HLTH,medium,years_old > 5,Budget or Resource Unavailability
HLTH-SQL-UP-001-RC11,HLTH,medium,age_days > 730,Production System Stability Overconfidence
HLTH-SQL-UP-002-RC01,HLTH,medium,row_count = 0 OR any_value action_time < SYSDATE - 120,Security Advisory Not Received or Monitored
HLTH-SQL-UP-002-RC06,HLTH,medium,any_value enabled = 'FALSE' OR row_count = 0,Maintenance Window Not Scheduled
HLTH-SQL-UP-002-RC08,HLTH,medium,any_value flashback_on = 'NO',No Rollback Plan Confidence
HLTH-SQL-UP-002-RC13,HLTH,medium,any_value name = 'audit_trail' AND value = 'NONE',Database Monitoring Gap
HLTH-SQL-UP-002-RC14,HLTH,medium,total_patches = 0 OR days_since_patch > 365,Vendor Support Not Engaged
HLTH-SQL-UP-002-RC15,HLTH,medium,any_value user_object_count > 10000 OR any_value active_job_count > 50,Post-Patch Validation Requirements Too Stringent
HLTH-SQL-UP-003-RC03,HLTH,medium,any status != 'SUCCESS',Failed Patch Validation Checks
HLTH-SQL-UP-003-RC04,HLTH,medium,cluster_database_instances != count of active instances,Partial Node Removal or Decommissioning
HLTH-SQL-UP-003-RC05,HLTH,medium,versions differ across instances,Network Partition During Deployment
HLTH-SQL-UP-003-RC09,HLTH,medium,version differs for recently restarted instance,Cluster Healing or Resync Issues
HLTH-SQL-UP-003-RC11,HLTH,medium,versions differ,Mixed Update Strategies
HLTH-SQL-UP-003-RC13,HLTH,medium,any status != 'VALID',Patch Metadata Inconsistency
HLTH-SQL-UP-003-RC14,HLTH,medium,versions differ,No Cluster-Wide Patch Coordination Tool
HLTH-SQL-UP-003-RC15,HLTH,medium,versions differ or startup times vary significantly,Scheduled Maintenance Windows Missed
HLTH-SQL-UP-004-RC01,HLTH,medium,used_pct > 85,Insufficient Disk Space
HLTH-SQL-UP-004-RC02,HLTH,medium,over allocation count > 0,Insufficient Memory or Swap
HLTH-SQL-UP-004-RC05,HLTH,medium,active_sessions > 0,File Locking or Permission Issues
HLTH-SQL-UP-004-RC06,HLTH,medium,not all versions match or any status = 'INVALID',Incompatible or Conflicting Patches
HLTH-SQL-UP-004-RC07,HLTH,medium,status = 'OPEN',Database or Instance Still Running
HLTH-SQL-UP-004-RC08,HLTH,medium,version information returned,Incompatible patching tool version
HLTH-SQL-UP-004-RC10,HLTH,medium,all components have consistent versions and VALID status,Patch registry or metadata inconsistency
HLTH-SQL-UP-004-RC11,HLTH,medium,compatible parameter is at appropriate level,Prerequisite Check Failure
HLTH-SQL-UP-004-RC17,HLTH,medium,special configurations detected,Incomplete or Outdated Upgrade Documentation
HLTH-SQL-UP-004-RC18,HLTH,medium,cluster_database = TRUE,Disabled or failed cluster services
HLTH-SQL-UP-004-RC19,HLTH,medium,compatible value returned,Insufficient Database Compatibility Level
HLTH-SQL-UP-004-RC20,HLTH,medium,any row with status != 'SUCCESS',Post-Patch Script Failure
HLTH-SQL-UP-004-RC22,HLTH,medium,flashback_on = 'YES' AND log_mode = 'ARCHIVELOG',No Recovery or Rollback Capability
PERF-SQL-CE-001-RC01,PERF,medium,buffer_cache_hit_pct < 95,Insufficient buffer pool/cache allocation
PERF-SQL-CE-001-RC02,PERF,medium,data_mb >> cache_mb,Working set exceeds allocated cache size
PERF-SQL-CE-001-RC06,PERF,medium,buffer_cache_hit_pct < 90,Concurrent workload contention
PERF-SQL-CE-001-RC09,PERF,medium,status != 'ENABLED',Poor query selectivity due to stale statistics
PERF-SQL-CE-001-RC12,PERF,medium,any event = 'log file switch (checkpoint incomplete)' AND total_waits > 100,Checkpoint frequency too aggressive
PERF-SQL-CE-001-RC13,PERF,medium,over allocation count > 0 OR extra bytes read/written > 0,Memory overcommitment with swapping
PERF-SQL-CE-001-RC14,PERF,medium,free_buffer_inspected is high relative to physical_reads,Suboptimal eviction policy configuration
PERF-SQL-CE-002-RC01,PERF,medium,hard_parse_pct > 30,Ad-hoc queries with literal values
PERF-SQL-CE-002-RC02,PERF,medium,sql area >> free memory,Whitespace and case sensitivity differences
PERF-SQL-CE-002-RC05,PERF,medium,row_count > 0 AND unique_sql >> unique_patterns for any program,Multiple client applications generating similar queries
PERF-SQL-CE-002-RC06,PERF,medium,value = 'EXACT',Automatic query parameterization failures
PERF-SQL-CE-002-RC08,PERF,medium,gethitratio < 0.9 OR reloads > 10000,High volume of one-time queries
PERF-SQL-CE-002-RC12,PERF,medium,reloads > 0 AND gethitratio < 0.95,Insufficient plan cache maintenance
PERF-SQL-CE-003-RC01,PERF,medium,status = 'DISABLED',Insufficient VACUUM frequency
PERF-SQL-CE-003-RC05,PERF,medium,pct_used > 85,Expired transaction ID wraparound protection
PERF-SQL-CE-003-RC06,PERF,medium,chain_pct > 5,Missing or low fill factor
PERF-SQL-CE-003-RC08,PERF,medium,message_lag > 10000,Logical replication slots retention
PERF-SQL-CE-003-RC12,PERF,medium,value > 10000,Correlation between UPDATE patterns and table layout
PERF-SQL-CE-003-RC13,PERF,medium,avg_wait_ms > 10,Inefficient VACUUM cleanup due to pinned buffers
PERF-SQL-CE-004-RC01,PERF,medium,avg_wait_ms > 5,Mutex contention on shared query cache lock
PERF-SQL-CE-004-RC04,PERF,medium,gethitratio < 0.9,Cache hit ratio low due to heterogeneous queries
PERF-SQL-CE-004-RC07,PERF,medium,Delete_Count_Max_Size > 100 OR Create_Count_Failure > 100,Query result set too large for cache
PERF-SQL-CE-004-RC08,PERF,medium,reload_pct > 1.0,Cache fragmentation from disparate result sizes
PERF-SQL-CE-004-RC09,PERF,medium,time_waited_ms > 60000,Overhead of cache lookup exceeds benefit
PERF-SQL-CE-004-RC11,PERF,medium,"row_count > 0 AND max_avg_gets / NULLIF(min_avg_gets, 0) > 10",Bind variable caching expectations
PERF-SQL-CE-004-RC12,PERF,medium,reload_pct > 5.0,Cache warmup challenges
PERF-SQL-CE-005-RC01,PERF,medium,cf_ratio > 0.5,Random UUID v4 primary keys
PERF-SQL-CE-005-RC06,PERF,medium,row_count > 0 AND avg_wait_ms > 10,High-concurrency inserts into narrow range
PERF-SQL-CE-005-RC09,PERF,medium,cf_to_blocks_ratio > 5,High-concurrency GUID/UUID inserts
PERF-SQL-CN-001-RC01,PERF,medium,any(status='ACTIVE' AND session_count > 50),Insufficient connection pool size configured relative to application concurrency and transaction dur
PERF-SQL-CN-001-RC03,PERF,medium,hwm_pct > 70,Connection leaks where connections are acquired but not properly returned to the pool
PERF-SQL-CN-001-RC08,PERF,medium,any(idle_seconds > 120 AND locked_mode > 2),"Database operations that acquire row/table locks, blocking other sessions"
