num,issue_id,root_cause_id,name,sqlserver,oracle,postgresql,mysql,mariadb,vendor_count,description
001,HLTH-SQL-SYS-001,HLTH-SQL-SYS-001-RC01,System Resource & NUMA Configuration,Y,,,,,1,"Inventory and monitor host/instance compute topology: NUMA nodes, CPU counts, sockets, memory sizing and affinity. Baseline for capacity and misconfiguration health checks."
002,HLTH-SQL-SYS-002,HLTH-SQL-SYS-002-RC01,Active Sessions & Wait Health,Y,Y,Y,Y,Y,5,"Monitor the live request workload: which sessions are running, what they wait on, who blocks whom, isolation levels and per-request resource consumption."
003,HLTH-SQL-SYS-003,HLTH-SQL-SYS-003-RC01,Active Transaction Health,Y,Y,Y,Y,Y,5,"Monitor open transactions: duration, idle sessions holding transactions, transaction log consumption, blocking and the statements involved."
004,HLTH-SQL-SYS-004,HLTH-SQL-SYS-004-RC01,Recent Connection Activity,Y,Y,Y,,,3,"Monitor sessions that connected in the last two minutes: who, from where, how authenticated, what they run and whether they already hold locks. Surfaces connection churn, login storms and immediately-locking newcomers."
005,HLTH-SQL-SYS-005,HLTH-SQL-SYS-005-RC01,Top Resource-Consuming Queries,Y,Y,,Y,Y,4,Track the cached statements consuming the most CPU (and their IO profile) so regressions and runaway ad-hoc workloads surface early.
006,HLTH-SQL-SYS-006,HLTH-SQL-SYS-006-RC01,Agent Job Failures,Y,Y,,,,2,"Detect SQL Agent jobs that failed or were canceled in the last 24 hours, at step and job-outcome level, with recovery status. Complements the HLTH-SQL-SJ issue family."
007,HLTH-SQL-SYS-007,HLTH-SQL-SYS-007-RC01,Buffer Pool Distribution,Y,Y,,Y,Y,4,"Track which databases occupy the buffer pool (data cache), including dirty-page volume, to spot cache-hog databases, sudden working-set shifts and checkpoint pressure."
008,HLTH-SQL-SYS-008,HLTH-SQL-SYS-008-RC01,I/O Distribution & Latency,Y,Y,Y,Y,Y,5,"Track which databases drive the I/O load and what latency they experience, split by data and log files, to spot I/O hogs and storage bottlenecks."
009,HLTH-SQL-SYS-009,HLTH-SQL-SYS-009-RC01,Agent Alert Configuration,Y,Y,,,,2,"Inventory SQL Agent alerts: what fires, on what condition, who gets notified and when each alert last fired. Surfaces disabled alerts, alerts notifying nobody, and instances with no alert coverage at all."
010,HLTH-SQL-SYS-010,HLTH-SQL-SYS-010-RC01,Procedure Performance Profile,Y,,,Y,,2,"Track average duration, CPU and IO per cached stored procedure to catch procedure-level regressions."
011,HLTH-SQL-SYS-011,HLTH-SQL-SYS-011-RC01,File-Level I/O Stalls,Y,Y,Y,Y,Y,5,Per-file average I/O stall latency -- the drill-down under the per-database view: which specific data or log file sits on slow storage.
012,HLTH-SQL-SYS-012,HLTH-SQL-SYS-012-RC01,Lock Contention Hotspots,Y,Y,Y,Y,,4,"Identify the exact tables/indexes where sessions wait on row and page locks, with cumulative and average block-wait times."
013,HLTH-SQL-SYS-013,HLTH-SQL-SYS-013-RC01,Active Blocking Chains,Y,Y,Y,Y,,4,"Live blocked-session snapshot with full blocker identity: who is blocked, by whom, on what resource, and what both sides are running."
014,HLTH-SQL-SYS-014,HLTH-SQL-SYS-014-RC01,Buffer Manager Health,Y,Y,Y,Y,Y,5,"Buffer Manager performance counters: cache hit ratio computed correctly against its base counter, page life expectancy and memory-pressure indicators."
015,HLTH-SQL-SYS-015,HLTH-SQL-SYS-015-RC01,Instance Configuration Baseline,Y,Y,Y,Y,Y,5,Full sys.configurations inventory each collection cycle: the baseline for configuration-drift detection and pending-change alerts.
016,HLTH-SQL-SYS-016,HLTH-SQL-SYS-016-RC01,Connection & Network I/O Profile,Y,Y,Y,Y,Y,5,"Inventory of live connections with their network transport, encryption, auth scheme and packet I/O counters: who is connected, over what, and how chatty."
017,HLTH-SQL-SYS-017,HLTH-SQL-SYS-017-RC01,CPU Utilization History,Y,Y,,,,2,"Minute-by-minute CPU utilization history from the scheduler-monitor ring buffer: SQL process vs other processes vs idle, up to ~4 hours back."
018,HLTH-SQL-SYS-018,HLTH-SQL-SYS-018-RC01,CPU Distribution by Database,Y,,,,,1,"Which databases consume the CPU, derived from cached-plan statistics: rank, share and execution volume per database."
019,HLTH-SQL-SYS-019,HLTH-SQL-SYS-019-RC01,Database Growth Trend,Y,,,,,1,"Database growth measured from full-backup sizes over the last 90 days: per-backup deltas, growth rate per day and backup recency."
020,HLTH-SQL-SYS-020,HLTH-SQL-SYS-020-RC01,Dynamic Data Masking Inventory,Y,Y,,,,2,Inventory of every column protected by Dynamic Data Masking across all user databases: where masking is applied and with which function.
021,HLTH-SQL-SYS-021,HLTH-SQL-SYS-021-RC01,Storage Capacity Forecast,Y,Y,,,,2,"Per file: size, autogrowth setting, hosting volume free space, backup-derived growth rate and projected days until the volume fills."
022,HLTH-SQL-SYS-022,HLTH-SQL-SYS-022-RC01,Data File Space Usage,Y,Y,,Y,Y,4,"Allocated vs unallocated space inside the data files of every database, including the tempdb version-store and object breakdown."
023,HLTH-SQL-SYS-023,HLTH-SQL-SYS-023-RC01,Deadlock Detection,Y,Y,,,,2,"Actual deadlock events from the system_health Extended Events session, with the victim identity and the full deadlock graph."
024,HLTH-SQL-SYS-024,HLTH-SQL-SYS-024-RC01,Volume Free Space,Y,,,,,1,"One row per volume hosting database files: capacity, free space and percent free, with the count and size of database files it hosts."
025,HLTH-SQL-SYS-025,HLTH-SQL-SYS-025-RC01,Volume I/O Latency,Y,Y,,Y,Y,4,Average I/O latency and transfer size aggregated per volume/drive - the storage-tier health rollup.
026,HLTH-SQL-SYS-026,HLTH-SQL-SYS-026-RC01,Errorlog Error Scan,Y,Y,,Y,,3,Error and severity lines from the SQL Server errorlog over the last 24 hours.
027,HLTH-SQL-SYS-027,HLTH-SQL-SYS-027-RC01,Index Fragmentation,Y,Y,,Y,Y,4,Per-index logical fragmentation across all user databases with a reorganize/rebuild recommendation.
028,HLTH-SQL-SYS-028,HLTH-SQL-SYS-028-RC01,Instance Identity & Properties,Y,Y,Y,Y,Y,5,"SERVERPROPERTY inventory: identity, edition, version/patch level, HA state, security mode, default paths and install date."
029,HLTH-SQL-SYS-029,HLTH-SQL-SYS-029-RC01,Agent Job Run History,Y,Y,,,,2,"Complete SQL Agent run history for the last 48 hours: every step of every run with status, duration and the command executed."
030,HLTH-SQL-SYS-030,HLTH-SQL-SYS-030-RC01,Agent Job Inventory,Y,Y,,Y,Y,4,"Definition-level inventory of SQL Agent jobs: owner, category, enabled state, failure notification wiring and schedules."
031,HLTH-SQL-SYS-031,HLTH-SQL-SYS-031-RC01,Backup Recency & Chain,Y,Y,,,,2,"Latest backup per database per type (Full/Differential/Log) with device, LSN chain, size and duration - and databases with NO backup at all."
032,HLTH-SQL-SYS-032,HLTH-SQL-SYS-032-RC01,Server Permission Inventory,Y,Y,Y,Y,Y,5,Server-level permissions AND server role memberships per principal - the complete instance-level privilege picture.
033,HLTH-SQL-SYS-033,HLTH-SQL-SYS-033-RC01,Long-Running Executions vs Baseline,Y,Y,,Y,Y,4,Currently executing statements that run long against their own historical average - the live regression detector.
034,HLTH-SQL-SYS-034,HLTH-SQL-SYS-034-RC01,Missing Index Suggestions,Y,,,Y,Y,3,"Deduplicated missing-index suggestions across the instance, ranked by estimated advantage, with ready CREATE INDEX statements."
035,HLTH-SQL-SYS-035,HLTH-SQL-SYS-035-RC01,Orphaned Database Users,Y,,,,,1,"Database users whose SID no longer matches any server login, across every database - dead identities that block logins or linger as risk."
036,HLTH-SQL-SYS-036,HLTH-SQL-SYS-036-RC01,OS Memory State,Y,Y,,Y,Y,4,Operating-system memory state paired with the SQL Server process footprint: the complete external memory-pressure picture.
037,HLTH-SQL-SYS-037,HLTH-SQL-SYS-037-RC01,SQL Login Password Hygiene,Y,Y,,Y,Y,4,"Password policy, age and weakness audit for every SQL login: policy/expiration enforcement, password age, lockout state, blank and name-equal passwords."
038,HLTH-SQL-SYS-038,HLTH-SQL-SYS-038-RC01,Scheduler Health,Y,,,,,1,"Per-scheduler task, worker and queue state: CPU pressure (runnable tasks), pending disk I/O stuck at schedulers, and offline-scheduler detection."
039,HLTH-SQL-SYS-039,HLTH-SQL-SYS-039-RC01,In-Flight I/O Requests,Y,,,,,1,"Point-in-time list of I/O requests currently outstanding, resolved to the database file, with how long each has been pending and WHERE it is stuck."
040,HLTH-SQL-SYS-040,HLTH-SQL-SYS-040-RC01,SQL Memory Breakdown,Y,Y,Y,Y,,4,"Memory Manager counter breakdown: where SQL Server memory actually goes - cache, stolen, locks, optimizer, workspace grants - plus grant queue state."
041,HLTH-SQL-SYS-041,HLTH-SQL-SYS-041-RC01,Processor Hardware Identity,Y,Y,,,,2,The physical CPU model string (and clock speed) paired with the logical/physical CPU topology - the hardware baseline for capacity and licensing.
042,HLTH-SQL-SYS-042,HLTH-SQL-SYS-042-RC01,Database Properties & Log State,Y,Y,Y,Y,Y,5,"Per-database recovery model, log reuse wait, transaction log size/usage, and the safety/perf option flags in one row."
043,HLTH-SQL-SYS-043,HLTH-SQL-SYS-043-RC01,SQL Server Services Status,Y,Y,,,,2,"State, startup type and service account of the SQL Server services (Engine, Agent, Full-Text) via the cross-platform dm_server_services."
044,HLTH-SQL-SYS-044,HLTH-SQL-SYS-044-RC01,Wait Statistics,Y,Y,Y,Y,Y,5,"Top cumulative waits since startup with the noise filtered out: resource vs signal (CPU) split, percent of total and average wait - the first stop in any performance triage."
045,HLTH-SQL-SYS-045,HLTH-SQL-SYS-045-RC01,SQL Login Inventory,Y,Y,Y,Y,Y,5,"Full inventory of SQL-authenticated logins: identity, SID, default database/language, mapped credential, policy flags and password hash algorithm."
046,HLTH-SQL-SYS-046,HLTH-SQL-SYS-046-RC01,Table Sizes,Y,Y,Y,Y,Y,5,The largest tables across every database with their row count and reserved/data/index/unused space breakdown.
047,HLTH-SQL-SYS-047,HLTH-SQL-SYS-047-RC01,TempDB File Configuration,Y,Y,,Y,Y,4,"TempDB data and log file layout with the classic tempdb-health checks: file count vs CPUs, equal-size verification and percent-growth anti-pattern."
048,HLTH-SQL-SYS-048,HLTH-SQL-SYS-048-RC01,TempDB Space Consumers,Y,Y,,Y,,3,"Live requests currently consuming tempdb, ranked by outstanding user + internal object space, with the statement and session behind each."
049,HLTH-SQL-SYS-049,HLTH-SQL-SYS-049-RC01,Transaction Throughput by Database,Y,Y,Y,Y,Y,5,"Cumulative transaction, write-transaction and log-flush counters per database - the workload-distribution and write-intensity view."
